AccountID,CompanyID,LedgerID,BankName,AccountNumber,IFSC,BranchName,AccountType,OpeningBalance,CurrentBalance,LastSyncDate,IsActive,CreatedAt,UpdatedAt
BA-0001,COMP-0001,LED-0002,Bank of India,76896723523,SBIN95486,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0002,COMP-0001,LED-0003,HDFC Bank,48319546855,SBIN28950,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0003,COMP-0002,LED-0012,Bank of India,63599462512,SBIN63767,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0004,COMP-0002,LED-0013,HDFC Bank,81418560968,SBIN43297,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0005,COMP-0003,LED-0022,Bank of India,36645896694,SBIN49323,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0006,COMP-0003,LED-0023,HDFC Bank,71070885429,SBIN41720,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0007,COMP-0004,LED-0032,Bank of India,13782797552,SBIN55226,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0008,COMP-0004,LED-0033,HDFC Bank,15982678721,SBIN90616,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0009,COMP-0005,LED-0042,Bank of India,55651750302,SBIN37028,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0010,COMP-0005,LED-0043,HDFC Bank,92888198157,SBIN85154,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0011,COMP-0006,LED-0052,Bank of India,59397756872,SBIN15580,Main Branch,Current,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0012,COMP-0006,LED-0053,HDFC Bank,61321644733,SBIN52071,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0013,COMP-0007,LED-0062,Bank of India,62221282748,SBIN33906,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0014,COMP-0007,LED-0063,HDFC Bank,59853145360,SBIN62122,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0015,COMP-0008,LED-0072,Bank of India,77994441224,SBIN55009,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0016,COMP-0008,LED-0073,HDFC Bank,92034111192,SBIN76174,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0017,COMP-0009,LED-0082,Bank of India,52062613797,SBIN89169,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0018,COMP-0009,LED-0083,HDFC Bank,66265404098,SBIN46122,Main Branch,Current,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0019,COMP-0010,LED-0092,Bank of India,72019219491,SBIN66934,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0020,COMP-0010,LED-0093,HDFC Bank,56300314226,SBIN86329,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0021,COMP-0011,LED-0102,Bank of India,41378677198,SBIN66611,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0022,COMP-0011,LED-0103,HDFC Bank,25000728189,SBIN54077,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0023,COMP-0012,LED-0112,Bank of India,63630727858,SBIN41587,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0024,COMP-0012,LED-0113,HDFC Bank,37254892739,SBIN57178,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0025,COMP-0013,LED-0122,Bank of India,43753324435,SBIN47714,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0026,COMP-0013,LED-0123,HDFC Bank,21438409832,SBIN96410,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0027,COMP-0014,LED-0132,Bank of India,23978238966,SBIN39261,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0028,COMP-0014,LED-0133,HDFC Bank,99039949951,SBIN73936,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0029,COMP-0015,LED-0142,Bank of India,40716097064,SBIN28948,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0030,COMP-0015,LED-0143,HDFC Bank,84515612868,SBIN12313,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0031,COMP-0016,LED-0152,Bank of India,27370184819,SBIN79586,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0032,COMP-0016,LED-0153,HDFC Bank,25634862271,SBIN35351,Main Branch,Savings,50000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0033,COMP-0017,LED-0162,Bank of India,70207894756,SBIN23338,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0034,COMP-0017,LED-0163,HDFC Bank,90774864858,SBIN68273,Main Branch,Current,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0035,COMP-0018,LED-0172,Bank of India,83549105417,SBIN55783,Main Branch,Savings,200000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0036,COMP-0018,LED-0173,HDFC Bank,78898749159,SBIN38410,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
BA-0037,COMP-0019,LED-0182,Bank of India,10432816515,SBIN20201,Main Branch,Savings,100000,,2024-05-01,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
