UserID,Username,Email,PasswordHash,FullName,Role,IsActive,CreatedAt,UpdatedAt
USR-0001,rajesh.sharma,rajesh.sharma@example.com,0b14d501a594442a01c6859541bcb3e8164d183d32937b851835442f69d5c94e,Rajesh Sharma,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0002,amit.sharma,amit.sharma@example.com,6cf615d5bcaac778352a8f1f3360d23f02f34ec182e259897fd6ce485d7870d4,Amit Sharma,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0003,neha.patel,neha.patel@example.com,5906ac361a137e2d286465cd6588ebb5ac3f5ae955001100bc41577c3d751764,Neha Patel,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0004,vikram.kumar,vikram.kumar@example.com,b97873a40f73abedd8d685a7cd5e5f85e4a9cfb83eac26886640a0813850122b,Vikram Kumar,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0005,rajesh.gupta,rajesh.gupta@example.com,8b2c86ea9cf2ea4eb517fd1e06b74f399e7fec0fef92e3b482a6cf2e2b092023,Rajesh Gupta,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0006,rajesh.gupta,rajesh.gupta@example.com,598a1a400c1dfdf36974e69d7e1bc98593f2e15015eed8e9b7e47a83b31693d5,Rajesh Gupta,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0007,neha.singh,neha.singh@example.com,5860836e8f13fc9837539a597d4086bfc0299e54ad92148d54538b5c3feefb7c,Neha Singh,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0008,vikram.singh,vikram.singh@example.com,57f3ebab63f156fd8f776ba645a55d96360a15eeffc8b0e4afe4c05fa88219aa,Vikram Singh,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0009,priya.kumar,priya.kumar@example.com,9323dd6786ebcbf3ac87357cc78ba1abfda6cf5e55cd01097b90d4a286cac90e,Priya Kumar,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0010,neha.singh,neha.singh@example.com,aa4a9ea03fcac15b5fc63c949ac34e7b0fd17906716ac3b8e58c599cdc5a52f0,Neha Singh,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0011,amit.kumar,amit.kumar@example.com,53d453b0c08b6b38ae91515dc88d25fbecdd1d6001f022419629df844f8ba433,Amit Kumar,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0012,neha.gupta,neha.gupta@example.com,b3d17ebbe4f2b75d27b6309cfaae1487b667301a73951e7d523a039cd2dfe110,Neha Gupta,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0013,neha.sharma,neha.sharma@example.com,48caafb68583936afd0d78a7bfd7046d2492fad94f3c485915f74bb60128620d,Neha Sharma,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0014,vikram.gupta,vikram.gupta@example.com,c6863e1db9b396ed31a36988639513a1c73a065fab83681f4b77adb648fac3d6,Vikram Gupta,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0015,priya.patel,priya.patel@example.com,c63c2d34ebe84032ad47b87af194fedd17dacf8222b2ea7f4ebfee3dd6db2dfb,Priya Patel,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0016,amit.sharma,amit.sharma@example.com,17a3379984b560dc311bb921b7a46b28aa5cb495667382f887a44a7fdbca7a7a,Amit Sharma,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0017,amit.patel,amit.patel@example.com,69bfb918de05145fba9dcee9688dfb23f6115845885e48fa39945eebb99d8527,Amit Patel,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0018,priya.sharma,priya.sharma@example.com,d2042d75a67922194c045da2600e1c92ff6d87e8fb6e0208606665f2d1dfa892,Priya Sharma,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0019,amit.patel,amit.patel@example.com,5790ac3d0b8ae8afc72c2c6fb97654f2b73651c328de0a3b74854ade562dd17a,Amit Patel,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0020,priya.singh,priya.singh@example.com,7535d8f2d8c35d958995610f971287288ab5e8c82a3c4fdc2b6fb5d757a5b9f8,Priya Singh,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0021,amit.patel,amit.patel@example.com,91a9ef3563010ea1af916083f9fb03a117d4d0d2a697f82368da1f737629f717,Amit Patel,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0022,neha.sharma,neha.sharma@example.com,d23c1038532dc71d0a60a7fb3d330d7606b7520e9e5ee0ddcdb27ee1bd5bc0cd,Neha Sharma,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0023,priya.gupta,priya.gupta@example.com,8b807aa0505a00b3ef49e26a2ade8e31fcd6c700d1a3aeee971b49d73da8e8ff,Priya Gupta,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0024,rajesh.patel,rajesh.patel@example.com,fc8a9296208a0b281f84690423c5d77785e493f435e6292cc322840f543729d3,Rajesh Patel,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0025,rajesh.singh,rajesh.singh@example.com,0b544d6d8da1d1af25318e97e0ac5f6bc70bba49919463dc0074ede01a49d381,Rajesh Singh,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0026,rajesh.singh,rajesh.singh@example.com,869f2a98b0e3a6ea928ff0542330ea3c1e0ff8591801693350f1fc3f1e57e4c5,Rajesh Singh,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0027,amit.sharma,amit.sharma@example.com,9c7568513b9c85e73f3650c8b00e3259501096ccee9d3dbdae6ff5e84aabe3af,Amit Sharma,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0028,rajesh.kumar,rajesh.kumar@example.com,6f5ea1c4acc7a563ea8cb3381a55f0183a2394d679ebb7db8312e047bbf87e0d,Rajesh Kumar,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0029,neha.kumar,neha.kumar@example.com,48a94846b2a7386432b90ad13bcf9c66f1efdd3a97e0e14968c262c412fe22c8,Neha Kumar,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0030,priya.kumar,priya.kumar@example.com,7c682dea8e934e04343374e3d25cd51edce9cbeb47f7034296052cb5cd6bed84,Priya Kumar,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0031,amit.patel,amit.patel@example.com,a4239ae1725466d26621f102d58c1541c84ff1142f4341c7b66be92e32396d45,Amit Patel,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0032,vikram.gupta,vikram.gupta@example.com,078aa4687601ab09b1f7581014674b3bf1a3aa68b12c346d01024f1f5206f94b,Vikram Gupta,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0033,amit.singh,amit.singh@example.com,ee13b7d4c8c0595dcabf6016290d65d8a50163569368db690595d5acaa5a168b,Amit Singh,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0034,priya.gupta,priya.gupta@example.com,72f1ffa2d7a9c9d60c2369fffce54372eea054d567c77f8a518f4f4c06b3856a,Priya Gupta,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0035,rajesh.singh,rajesh.singh@example.com,5bd40f88c4a6b2c20256389878ec2b59515ca478eb3eb0f3673663273bcb639b,Rajesh Singh,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0036,amit.sharma,amit.sharma@example.com,9777509ca199ac591368c5cfa9ef92b4879ff99098b7e34865172a5ea983542e,Amit Sharma,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0037,neha.singh,neha.singh@example.com,ca02485287fd4f05de9540613f8ba982e99080b66f8452024cb4c4cc3de7042e,Neha Singh,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0038,amit.gupta,amit.gupta@example.com,014d020993865f93b80ec587e171554db5b45a1a46a9101510de52e148aa184f,Amit Gupta,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0039,vikram.patel,vikram.patel@example.com,f245ffb6352c8c101b0f9ed1187104f11e0a64622cc5da7082aef963dea5a83f,Vikram Patel,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0040,priya.patel,priya.patel@example.com,825e233a9d192f81d3f6780cb8e181af518054a8d9c83381882e573eed014df2,Priya Patel,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0041,neha.gupta,neha.gupta@example.com,a13b6ab0bb26b7d8bf31628b3b524efade4ac5b02712a95210c0abda5148ec85,Neha Gupta,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0042,amit.sharma,amit.sharma@example.com,fe404abb6785bd17ac4c937c2837d3ad6d6ac1ed17e099a89a9c5e18d1e936fe,Amit Sharma,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0043,neha.sharma,neha.sharma@example.com,fe4597a9d0a16c51ab5c8224dae83f170b69cede0f1a7f40f447f163dcbf9295,Neha Sharma,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0044,amit.singh,amit.singh@example.com,f9d07093d0de736c8881640c3e55714bebd5faf5d6ebbfb41e486e1660c8fc0e,Amit Singh,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0045,neha.patel,neha.patel@example.com,0528d31561cee040ee92e2857a2d71a373605b91da87d09ae5359a0689c45e6c,Neha Patel,Staff,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0046,vikram.kumar,vikram.kumar@example.com,f7944ecca058c63c386de56353cddf278c98f3143bd4a00bb0b2015adb69ed39,Vikram Kumar,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0047,amit.kumar,amit.kumar@example.com,7ff9543ea5b226aeb9dcbf13672c32e62623e70edc4177512b169ec4e39846ea,Amit Kumar,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0048,priya.patel,priya.patel@example.com,172e362eecb6dff98dbeb4a7c42367109c1b288ecf45ff271fb79acd352ba8f9,Priya Patel,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0049,amit.kumar,amit.kumar@example.com,3cd00931dd1de5d07fcafb463ba5c4d95d31dca8a35480cac4a2beb771cb90df,Amit Kumar,Manager,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
USR-0050,neha.kumar,neha.kumar@example.com,b5d966eb0c2845953fab12c306c906a3561162262115c3b6fc19aead8d142157,Neha Kumar,Admin,TRUE,2024-01-01 10:00:00,2024-05-01 08:00:00
